time,G(i),H_sun,T2m,WS10m,Int
20110105:2110,0.0,0.0,8.57,2.69,0.0
20110105:2210,0.0,0.0,8.47,2.55,0.0
20110105:2310,0.0,0.0,8.56,2.62,0.0
20110106:0010,0.0,0.0,8.56,2.62,0.0
20110106:0110,0.0,0.0,8.64,2.69,0.0
20110106:0210,0.0,0.0,8.74,2.69,0.0
20110106:0310,0.0,0.0,8.91,2.69,0.0
20110106:0410,0.0,0.0,9.03,2.76,0.0
20110106:0510,0.0,0.0,9.18,2.69,0.0
20110106:0610,0.0,0.0,9.27,2.9,0.0
20110106:0710,0.0,0.0,9.62,3.17,0.0
20110106:0810,41.61,4.34,9.9,3.59,0.0
20110106:0910,142.15,13.09,10.25,3.93,0.0
20110106:1010,201.84,20.17,10.74,4.0,0.0
20110106:1110,221.15,25.02,11.06,4.62,0.0
20110106:1210,561.78,27.08,11.47,5.38,0.0
20110106:1310,230.48,26.08,11.73,4.34,0.0
20110106:1410,235.36,22.15,12.02,4.97,0.0
20110106:1510,260.24,15.79,12.21,5.03,0.0
20110106:1610,24.09,7.56,11.93,4.34,0.0
20110106:1710,0.0,0.0,11.56,3.86,0.0
20110106:1810,0.0,0.0,10.88,3.66,0.0
20110106:1910,0.0,0.0,11.13,3.59,0.0
20110106:2010,0.0,0.0,11.23,3.93,0.0
20110106:2110,0.0,0.0,11.14,4.21,0.0
20110106:2210,0.0,0.0,11.1,4.41,0.0
20110106:2310,0.0,0.0,11.17,4.9,0.0
20110107:0010,0.0,0.0,10.99,5.03,0.0
20110107:0110,0.0,0.0,10.77,4.69,0.0
20110107:0210,0.0,0.0,10.62,4.55,0.0
20110107:0310,0.0,0.0,10.47,4.55,0.0
20110107:0410,0.0,0.0,10.19,4.28,0.0
20110107:0510,0.0,0.0,9.71,4.0,0.0
20110107:0610,0.0,0.0,9.12,3.79,0.0
20110107:0710,0.0,0.0,9.07,4.07,0.0
20110107:0810,4.63,4.37,8.84,3.79,0.0
20110107:0910,60.22,13.13,8.78,3.45,0.0
20110107:1010,126.31,20.24,9.07,3.45,0.0
20110107:1110,197.89,25.11,9.67,3.52,0.0
