time,G(i),H_sun,T2m,WS10m,Int
20110602:1610,464.86,37.21,21.96,4.07,0.0
20110602:1710,255.79,25.81,21.65,3.93,0.0
20110602:1810,53.65,14.66,20.93,3.52,0.0
20110602:1910,19.21,4.03,19.97,2.9,0.0
20110602:2010,0.0,0.0,18.75,2.62,0.0
20110602:2110,0.0,0.0,17.56,2.97,0.0
20110602:2210,0.0,0.0,16.42,3.59,0.0
20110602:2310,0.0,0.0,15.38,3.93,0.0
20110603:0010,0.0,0.0,14.38,3.66,0.0
20110603:0110,0.0,0.0,13.44,3.45,0.0
20110603:0210,0.0,0.0,12.76,3.31,0.0
20110603:0310,0.0,0.0,12.17,3.17,0.0
20110603:0410,0.0,0.0,11.7,3.03,0.0
20110603:0510,13.97,3.14,11.36,2.97,0.0
20110603:0610,74.3,13.7,11.71,2.83,0.0
20110603:0710,290.17,24.81,13.21,3.45,0.0
20110603:0810,506.89,36.19,14.96,3.24,0.0
20110603:0910,557.02,47.55,16.66,2.62,0.0
20110603:1010,805.22,58.4,18.84,2.41,0.0
20110603:1110,831.33,67.57,19.84,2.48,0.0
20110603:1210,789.44,71.93,20.72,2.83,0.0
20110603:1310,742.66,68.28,21.47,2.83,0.0
20110603:1410,807.15,59.4,21.82,2.62,0.0
20110603:1510,519.33,48.65,22.24,2.34,0.0
20110603:1610,453.13,37.31,22.53,2.14,0.0
20110603:1710,256.31,25.91,22.56,1.86,0.0
20110603:1810,74.22,14.77,22.21,1.66,0.0
20110603:1910,20.09,4.14,21.1,0.76,0.0
20110603:2010,0.0,0.0,18.69,1.17,0.0
20110603:2110,0.0,0.0,16.87,1.52,0.0
20110603:2210,0.0,0.0,15.01,2.0,0.0
20110603:2310,0.0,0.0,14.07,2.28,0.0
20110604:0010,0.0,0.0,13.57,2.34,0.0
20110604:0110,0.0,0.0,12.63,2.0,0.0
20110604:0210,0.0,0.0,11.6,1.66,0.0
20110604:0310,0.0,0.0,11.01,1.52,0.0
20110604:0410,0.0,0.0,10.79,1.38,0.0
20110604:0510,13.97,3.19,10.6,1.31,0.0
20110604:0610,79.05,13.75,12.03,0.83,0.0
20110604:0710,285.0,24.85,14.31,0.83,0.0
20110604:0810,511.16,36.23,16.14,1.1,0.0
20110604:0910,715.02,47.59,17.9,1.24,0.0
20110604:1010,877.74,58.45,19.43,1.17,0.0
20110604:1110,975.87,67.65,20.79,1.38,0.0
20110604:1210,859.31,72.05,21.96,1.72,0.0
20110604:1310,320.2,68.4,22.55,1.38,0.0
20110604:1410,792.52,59.51,23.01,0.9,0.0
20110604:1510,642.42,48.75,23.41,0.83,0.0
20110604:1610,379.95,37.41,23.15,0.9,0.0
20110604:1710,201.49,26.01,22.92,0.9,0.0
20110604:1810,32.43,14.87,22.61,1.1,0.0
20110604:1910,2.62,4.25,21.57,1.59,0.0
20110604:2010,0.0,0.0,20.49,1.59,0.0
20110604:2110,0.0,0.0,19.21,1.59,0.0
20110604:2210,0.0,0.0,17.8,1.45,0.0
20110604:2310,0.0,0.0,16.82,1.17,0.0
20110605:0010,0.0,0.0,15.51,1.31,0.0
20110605:0110,0.0,0.0,14.6,1.45,0.0
20110605:0210,0.0,0.0,13.8,1.52,0.0
20110605:0310,0.0,0.0,13.47,1.52,0.0
20110605:0410,0.0,0.0,12.68,1.59,0.0
20110605:0510,15.72,3.24,12.04,1.59,0.0
20110605:0610,78.79,13.79,13.17,1.38,0.0
20110605:0710,286.98,24.88,15.86,1.45,0.0
20110605:0810,517.61,36.26,17.62,1.03,0.0
20110605:0910,725.59,47.62,19.49,0.76,0.0
20110605:1010,891.1,58.5,21.21,0.41,0.0
20110605:1110,990.72,67.72,22.36,0.55,0.0
20110605:1210,985.3,72.16,23.31,0.69,0.0
20110605:1310,700.68,68.52,24.13,0.55,0.0
20110605:1410,802.56,59.62,24.79,0.69,0.0
20110605:1510,674.67,48.85,25.23,1.1,0.0
20110605:1610,334.26,37.5,24.77,1.52,0.0
20110605:1710,177.35,26.11,23.83,2.07,0.0
20110605:1810,63.0,14.97,22.84,2.48,0.0
20110605:1910,3.49,4.35,22.32,2.07,0.0
20110605:2010,0.0,0.0,21.1,1.66,0.0
20110605:2110,0.0,0.0,19.54,1.52,0.0
20110605:2210,0.0,0.0,17.97,1.38,0.0
20110605:2310,0.0,0.0,17.21,1.03,0.0
20110606:0010,0.0,0.0,17.78,0.21,0.0
20110606:0110,0.0,0.0,17.07,0.41,0.0
20110606:0210,0.0,0.0,16.19,0.76,0.0
20110606:0310,0.0,0.0,15.56,0.69,0.0
20110606:0410,0.0,0.0,15.09,0.41,0.0
20110606:0510,1.75,3.28,14.68,0.28,0.0
20110606:0610,87.0,13.82,15.12,0.41,0.0
20110606:0710,149.56,24.91,15.79,0.69,0.0
20110606:0810,337.2,36.29,17.45,0.83,0.0
20110606:0910,321.72,47.65,18.88,1.38,0.0
20110606:1010,556.4,58.54,20.32,2.21,0.0
20110606:1110,304.19,67.79,20.99,2.69,0.0
20110606:1210,913.92,72.26,21.59,4.0,0.0
20110606:1310,345.8,68.63,18.71,5.03,0.0
20110606:1410,74.11,59.72,19.33,3.72,0.0
20110606:1510,71.34,48.94,19.9,2.55,0.0
20110606:1610,99.13,37.6,21.0,2.83,0.0
20110606:1710,37.06,26.21,21.33,3.1,0.0
20110606:1810,75.82,15.07,20.8,2.9,0.0
20110606:1910,14.85,4.46,19.5,2.62,0.0
20110606:2010,0.0,0.0,18.0,2.55,0.0
20110606:2110,0.0,0.0,17.0,1.72,0.0
20110606:2210,0.0,0.0,16.28,1.52,0.0
20110606:2310,0.0,0.0,15.62,1.86,0.0
20110607:0010,0.0,0.0,14.77,1.79,0.0
20110607:0110,0.0,0.0,14.17,1.52,0.0
20110607:0210,0.0,0.0,13.52,1.52,0.0
20110607:0310,0.0,0.0,12.88,1.52,0.0
20110607:0410,0.0,0.0,12.79,1.45,0.0
20110607:0510,9.61,3.32,12.42,1.45,0.0
20110607:0610,93.21,13.85,12.9,1.38,0.0
20110607:0710,241.49,24.94,13.53,0.9,0.0
20110607:0810,293.97,36.31,15.15,0.9,0.0
20110607:0910,325.58,47.68,15.89,1.1,0.0
20110607:1010,734.38,58.58,16.47,1.17,0.0
20110607:1110,552.56,67.85,16.92,0.69,0.0
20110607:1210,153.79,72.36,15.81,0.55,0.0
20110607:1310,165.83,68.74,16.43,2.0,0.0
20110607:1410,271.54,59.82,15.73,1.59,0.0
20110607:1510,201.04,49.03,16.43,2.21,0.0
20110607:1610,179.61,37.69,17.29,2.69,0.0
20110607:1710,235.94,26.3,17.74,2.48,0.0
20110607:1810,72.2,15.16,16.34,2.07,0.0
20110607:1910,20.09,4.55,15.66,0.97,0.0
20110607:2010,0.0,0.0,15.21,0.41,0.0
20110607:2110,0.0,0.0,15.08,0.21,0.0
20110607:2210,0.0,0.0,14.65,0.0,0.0
20110607:2310,0.0,0.0,14.2,0.14,0.0
20110608:0010,0.0,0.0,13.64,0.62,0.0
20110608:0110,0.0,0.0,11.51,1.17,0.0
20110608:0210,0.0,0.0,10.74,1.38,0.0
20110608:0310,0.0,0.0,10.72,1.24,0.0
20110608:0410,0.0,0.0,10.35,1.31,0.0
20110608:0510,14.85,3.35,9.99,1.38,0.0
20110608:0610,95.6,13.88,10.72,0.97,0.0
20110608:0710,281.07,24.95,12.75,0.97,0.0
20110608:0810,517.65,36.33,14.38,0.97,0.0
20110608:0910,722.41,47.7,15.42,0.69,0.0
20110608:1010,652.42,58.61,16.0,1.17,0.0
20110608:1110,883.36,67.9,17.3,1.72,0.0
20110608:1210,913.45,72.45,18.46,2.07,0.0
20110608:1310,797.15,68.84,19.4,2.41,0.0
20110608:1410,826.4,59.91,19.66,2.69,0.0
20110608:1510,692.39,49.12,20.23,2.97,0.0
20110608:1610,470.45,37.77,20.17,3.1,0.0
20110608:1710,266.21,26.39,20.41,3.24,0.0
20110608:1810,70.94,15.25,19.92,3.31,0.0
20110608:1910,22.71,4.65,18.99,3.17,0.0
20110608:2010,0.0,0.0,17.47,3.17,0.0
20110608:2110,0.0,0.0,16.3,2.76,0.0
20110608:2210,0.0,0.0,15.16,2.21,0.0
20110608:2310,0.0,0.0,13.87,1.79,0.0
20110609:0010,0.0,0.0,12.44,1.52,0.0
20110609:0110,0.0,0.0,11.84,1.17,0.0
20110609:0210,0.0,0.0,12.17,0.9,0.0
20110609:0310,0.0,0.0,11.96,0.69,0.0
20110609:0410,0.0,0.0,11.88,0.41,0.0
20110609:0510,11.35,3.38,11.65,0.34,0.0
20110609:0610,91.28,13.9,11.79,0.34,0.0
20110609:0710,276.86,24.97,14.15,1.1,0.0
20110609:0810,496.56,36.34,15.99,1.72,0.0
20110609:0910,641.9,47.71,17.63,2.34,0.0
20110609:1010,790.55,58.63,18.82,2.97,0.0
20110609:1110,713.1,67.95,19.71,3.45,0.0
20110609:1210,863.81,72.54,20.55,3.59,0.0
20110609:1310,548.63,68.94,21.11,3.72,0.0
20110609:1410,487.9,60.0,21.51,3.86,0.0
20110609:1510,494.78,49.21,21.77,3.93,0.0
20110609:1610,213.43,37.86,21.68,3.79,0.0
20110609:1710,237.72,26.47,21.28,3.86,0.0
20110609:1810,56.51,15.34,20.33,3.86,0.0
20110609:1910,23.58,4.74,19.31,3.31,0.0
20110609:2010,0.0,0.0,18.07,2.97,0.0
20110609:2110,0.0,0.0,16.92,2.76,0.0
20110609:2210,0.0,0.0,15.82,2.62,0.0
20110609:2310,0.0,0.0,14.98,2.34,0.0
20110610:0010,0.0,0.0,14.29,2.07,0.0
20110610:0110,0.0,0.0,13.45,1.79,0.0
20110610:0210,0.0,0.0,12.64,1.59,0.0
20110610:0310,0.0,0.0,11.77,1.45,0.0
20110610:0410,0.0,0.0,11.31,1.38,0.0
20110610:0510,11.35,3.4,10.8,1.24,0.0
20110610:0610,93.01,13.91,12.08,0.83,0.0
20110610:0710,271.52,24.98,14.47,1.03,0.0
20110610:0810,500.14,36.35,16.06,1.17,0.0
20110610:0910,609.61,47.72,17.46,1.1,0.0
20110610:1010,689.53,58.65,18.77,1.31,0.0
20110610:1110,852.26,67.99,19.28,1.72,0.0
20110610:1210,737.11,72.62,19.45,2.28,0.0
20110610:1310,861.84,69.03,20.05,2.48,0.0
20110610:1410,812.93,60.09,20.61,2.41,0.0
20110610:1510,669.99,49.29,20.68,2.48,0.0
20110610:1610,401.72,37.94,21.09,2.76,0.0
20110610:1710,210.17,26.55,20.91,2.76,0.0
20110610:1810,96.92,15.43,20.58,2.48,0.0
20110610:1910,22.71,4.82,20.13,1.45,0.0
20110610:2010,0.0,0.0,18.47,1.52,0.0
20110610:2110,0.0,0.0,17.02,1.24,0.0
20110610:2210,0.0,0.0,15.94,1.17,0.0
20110610:2310,0.0,0.0,14.51,1.38,0.0
20110611:0010,0.0,0.0,13.48,1.59,0.0
20110611:0110,0.0,0.0,12.82,1.93,0.0
20110611:0210,0.0,0.0,12.3,2.14,0.0
20110611:0310,0.0,0.0,12.13,2.21,0.0
20110611:0410,0.0,0.0,12.34,2.28,0.0
20110611:0510,13.97,3.42,12.36,2.21,0.0
20110611:0610,86.29,13.92,12.7,1.86,0.0
20110611:0710,263.65,24.99,15.04,1.79,0.0
20110611:0810,485.43,36.35,16.9,1.45,0.0
20110611:0910,686.85,47.73,18.61,0.76,0.0
20110611:1010,863.26,58.66,20.36,0.14,0.0
20110611:1110,910.47,68.03,22.01,1.31,0.0
20110611:1210,964.8,72.69,23.2,1.86,0.0
20110611:1310,682.76,69.11,24.03,2.21,0.0
20110611:1410,863.36,60.17,24.61,2.48,0.0
20110611:1510,702.91,49.37,24.79,2.48,0.0
20110611:1610,495.49,38.02,24.83,2.55,0.0
20110611:1710,267.19,26.63,24.96,2.48,0.0
20110611:1810,69.61,15.51,24.58,2.55,0.0
20110611:1910,23.58,4.91,23.11,2.41,0.0
20110611:2010,0.0,0.0,21.12,2.76,0.0
20110611:2110,0.0,0.0,19.72,2.55,0.0
20110611:2210,0.0,0.0,18.5,2.14,0.0
20110611:2310,0.0,0.0,16.99,1.66,0.0
20110612:0010,0.0,0.0,15.63,1.31,0.0
20110612:0110,0.0,0.0,16.13,0.83,0.0
20110612:0210,0.0,0.0,15.73,0.21,0.0
20110612:0310,0.0,0.0,15.21,0.34,0.0
20110612:0410,0.0,0.0,14.84,0.62,0.0
20110612:0510,16.59,3.43,14.21,0.9,0.0
20110612:0610,71.38,13.93,14.56,0.69,0.0
20110612:0710,282.55,24.99,17.35,0.55,0.0
20110612:0810,507.27,36.35,19.87,0.62,0.0
20110612:0910,698.0,47.73,22.07,1.24,0.0
20110612:1010,871.17,58.67,24.03,2.14,0.0
20110612:1110,985.23,68.06,25.59,2.83,0.0
20110612:1210,998.81,72.75,26.77,3.24,0.0
20110612:1310,981.11,69.19,27.69,3.45,0.0
20110612:1410,876.22,60.25,28.32,3.79,0.0
20110612:1510,710.46,49.44,28.59,4.07,0.0
20110612:1610,494.37,38.09,28.48,4.21,0.0
20110612:1710,267.39,26.71,27.96,4.28,0.0
20110612:1810,70.91,15.58,27.06,4.0,0.0
20110612:1910,25.33,4.98,25.57,3.03,0.0
20110612:2010,0.0,0.0,23.73,2.69,0.0
20110612:2110,0.0,0.0,22.33,2.34,0.0
20110612:2210,0.0,0.0,21.03,2.21,0.0
20110612:2310,0.0,0.0,19.51,2.07,0.0
20110613:0010,0.0,0.0,18.07,2.07,0.0
20110613:0110,0.0,0.0,17.0,2.0,0.0
20110613:0210,0.0,0.0,16.07,1.79,0.0
20110613:0310,0.0,0.0,15.72,1.52,0.0
20110613:0410,0.0,0.0,15.23,1.31,0.0
20110613:0510,13.1,3.44,15.08,1.1,0.0
20110613:0610,72.42,13.93,15.8,0.83,0.0
20110613:0710,280.17,24.98,18.81,1.1,0.0
20110613:0810,492.92,36.35,21.13,1.59,0.0
20110613:0910,718.42,47.73,22.91,1.66,0.0
20110613:1010,884.78,58.68,24.51,1.72,0.0
20110613:1110,984.59,68.08,25.82,1.79,0.0
20110613:1210,1019.93,72.81,26.92,2.0,0.0
20110613:1310,980.57,69.27,27.72,2.34,0.0
20110613:1410,875.72,60.32,28.27,2.62,0.0
20110613:1510,711.03,49.52,28.54,2.69,0.0
20110613:1610,493.44,38.16,28.56,2.62,0.0
20110613:1710,267.1,26.78,28.24,2.48,0.0
20110613:1810,101.95,15.66,27.5,2.55,0.0
20110613:1910,25.33,5.06,26.0,2.97,0.0
20110613:2010,0.0,0.0,23.92,3.24,0.0
20110613:2110,0.0,0.0,22.32,2.83,0.0
20110613:2210,0.0,0.0,20.98,2.34,0.0
20110613:2310,0.0,0.0,19.47,1.79,0.0
20110614:0010,0.0,0.0,17.64,1.52,0.0
20110614:0110,0.0,0.0,16.81,1.17,0.0
20110614:0210,0.0,0.0,17.37,0.62,0.0
20110614:0310,0.0,0.0,15.87,0.97,0.0
20110614:0410,0.0,0.0,14.31,1.31,0.0
20110614:0510,16.59,3.44,13.7,1.31,0.0
20110614:0610,74.73,13.92,14.84,0.97,0.0
20110614:0710,282.05,24.98,18.17,0.76,0.0
20110614:0810,510.13,36.34,20.83,0.83,0.0
20110614:0910,721.2,47.72,22.85,0.41,0.0
20110614:1010,887.84,58.67,24.67,0.48,0.0
20110614:1110,994.71,68.09,26.29,1.31,0.0
20110614:1210,1019.39,72.86,27.52,1.86,0.0
20110614:1310,970.63,69.34,28.4,2.28,0.0
20110614:1410,880.72,60.39,28.96,2.55,0.0
20110614:1510,713.71,49.59,29.23,2.62,0.0
20110614:1610,497.38,38.23,29.21,2.62,0.0
20110614:1710,271.49,26.85,28.82,2.55,0.0
20110614:1810,65.04,15.72,28.1,2.62,0.0
20110614:1910,24.45,5.13,26.5,2.83,0.0
20110614:2010,0.0,0.0,24.54,3.1,0.0
20110614:2110,0.0,0.0,22.98,2.83,0.0
20110614:2210,0.0,0.0,21.73,2.41,0.0
20110614:2310,0.0,0.0,20.47,2.0,0.0
20110615:0010,0.0,0.0,18.86,1.66,0.0
20110615:0110,0.0,0.0,17.66,1.38,0.0
20110615:0210,0.0,0.0,17.38,1.1,0.0
20110615:0310,0.0,0.0,17.91,0.76,0.0
20110615:0410,0.0,0.0,17.32,0.69,0.0
20110615:0510,15.72,3.44,16.61,0.76,0.0
20110615:0610,76.07,13.91,16.86,0.55,0.0
20110615:0710,280.64,24.96,19.2,0.07,0.0
20110615:0810,509.55,36.32,21.9,0.14,0.0
20110615:0910,716.22,47.71,24.17,0.48,0.0
20110615:1010,887.32,58.67,26.22,1.24,0.0
20110615:1110,983.5,68.11,27.84,2.07,0.0
20110615:1210,1018.93,72.9,29.14,2.62,0.0
20110615:1310,980.71,69.4,30.05,2.97,0.0
20110615:1410,876.99,60.46,30.67,3.17,0.0
20110615:1510,708.42,49.65,30.98,3.38,0.0
20110615:1610,498.11,38.3,31.0,3.52,0.0
20110615:1710,256.33,26.91,30.36,3.59,0.0
20110615:1810,75.41,15.79,29.35,3.66,0.0
20110615:1910,26.2,5.19,27.94,3.45,0.0
20110615:2010,0.0,0.0,26.02,3.45,0.0
20110615:2110,0.0,0.0,24.53,2.9,0.0
20110615:2210,0.0,0.0,23.31,2.41,0.0
20110615:2310,0.0,0.0,22.13,2.14,0.0
20110616:0010,0.0,0.0,21.08,2.14,0.0
20110616:0110,0.0,0.0,20.09,2.21,0.0
20110616:0210,0.0,0.0,18.63,1.66,0.0
20110616:0310,0.0,0.0,17.93,1.38,0.0
20110616:0410,0.0,0.0,16.84,1.38,0.0
20110616:0510,15.72,3.43,16.01,1.31,0.0
20110616:0610,79.3,13.9,16.85,0.9,0.0
20110616:0710,278.38,24.95,20.24,1.1,0.0
20110616:0810,504.07,36.31,22.12,1.79,0.0
20110616:0910,698.36,47.69,23.8,1.31,0.0
20110616:1010,864.17,58.66,25.33,1.17,0.0
20110616:1110,983.07,68.11,26.72,1.72,0.0
20110616:1210,1007.78,72.94,27.86,2.28,0.0
20110616:1310,969.92,69.46,28.63,2.76,0.0
20110616:1410,535.39,60.52,28.99,3.17,0.0
20110616:1510,557.09,49.71,29.38,3.31,0.0
20110616:1610,497.33,38.36,29.39,3.45,0.0
20110616:1710,271.48,26.97,28.98,3.52,0.0
20110616:1810,74.09,15.85,28.27,3.66,0.0
20110616:1910,27.07,5.26,26.84,3.31,0.0
20110616:2010,0.0,0.0,25.25,3.17,0.0
20110616:2110,0.0,0.0,23.88,2.97,0.0
20110616:2210,0.0,0.0,22.62,2.55,0.0
20110616:2310,0.0,0.0,21.42,2.21,0.0
20110617:0010,0.0,0.0,20.2,2.0,0.0
20110617:0110,0.0,0.0,18.87,1.72,0.0
20110617:0210,0.0,0.0,17.69,1.31,0.0
20110617:0310,0.0,0.0,17.37,0.97,0.0
20110617:0410,0.0,0.0,17.41,0.83,0.0
20110617:0510,16.59,3.42,16.97,0.69,0.0
20110617:0610,75.16,13.88,17.22,0.48,0.0
20110617:0710,278.55,24.93,19.27,0.76,0.0
20110617:0810,501.52,36.28,21.61,1.38,0.0
20110617:0910,701.45,47.67,23.61,2.14,0.0
20110617:1010,872.31,58.64,25.37,2.69,0.0
20110617:1110,977.87,68.11,26.95,3.24,0.0
20110617:1210,1023.04,72.97,28.22,3.66,0.0
20110617:1310,980.12,69.51,29.12,4.14,0.0
20110617:1410,850.69,60.58,29.6,4.62,0.0
20110617:1510,665.48,49.77,29.66,4.83,0.0
20110617:1610,354.74,38.42,29.33,4.9,0.0
20110617:1710,253.96,27.03,28.96,4.76,0.0
20110617:1810,104.58,15.91,28.11,4.69,0.0
20110617:1910,26.2,5.31,26.85,3.72,0.0
20110617:2010,0.0,0.0,25.08,3.45,0.0
20110617:2110,0.0,0.0,23.73,3.1,0.0
20110617:2210,0.0,0.0,22.66,2.55,0.0
20110617:2310,0.0,0.0,21.66,2.14,0.0
20110618:0010,0.0,0.0,20.57,1.93,0.0
20110618:0110,0.0,0.0,19.47,1.93,0.0
20110618:0210,0.0,0.0,18.5,1.93,0.0
20110618:0310,0.0,0.0,17.5,1.72,0.0
20110618:0410,0.0,0.0,16.52,1.45,0.0
20110618:0510,15.72,3.4,15.65,1.45,0.0
20110618:0610,72.8,13.86,16.27,1.24,0.0
20110618:0710,277.46,24.9,18.49,2.28,0.0
20110618:0810,502.25,36.26,19.71,2.14,0.0
20110618:0910,710.49,47.65,21.36,2.34,0.0
20110618:1010,862.45,58.62,23.03,2.55,0.0
20110618:1110,950.82,68.1,24.6,2.62,0.0
20110618:1210,991.41,72.99,25.92,2.83,0.0
20110618:1310,980.94,69.56,26.94,2.76,0.0
20110618:1410,865.07,60.63,27.76,2.62,0.0
20110618:1510,693.71,49.82,28.25,2.55,0.0
20110618:1610,471.43,38.47,28.25,2.41,0.0
20110618:1710,272.05,27.09,28.04,2.28,0.0
20110618:1810,63.23,15.96,27.41,2.0,0.0
20110618:1910,27.95,5.37,26.42,1.72,0.0
20110618:2010,0.0,0.0,24.39,1.31,0.0
20110618:2110,0.0,0.0,22.58,0.97,0.0
20110618:2210,0.0,0.0,20.79,1.1,0.0
20110618:2310,0.0,0.0,18.9,1.38,0.0
20110619:0010,0.0,0.0,17.36,1.38,0.0
20110619:0110,0.0,0.0,16.31,1.38,0.0
20110619:0210,0.0,0.0,15.31,1.45,0.0
20110619:0310,0.0,0.0,14.08,1.79,0.0
20110619:0410,0.0,0.0,13.59,2.07,0.0
20110619:0510,15.72,3.38,13.25,2.14,0.0
20110619:0610,71.73,13.83,14.34,1.86,0.0
20110619:0710,277.67,24.87,18.05,1.72,0.0
20110619:0810,504.06,36.23,20.77,1.79,0.0
20110619:0910,710.23,47.62,23.09,1.38,0.0
20110619:1010,875.43,58.6,24.98,0.76,0.0
20110619:1110,976.32,68.09,26.56,0.41,0.0
20110619:1210,1017.81,73.01,27.93,0.41,0.0
20110619:1310,980.82,69.6,29.07,0.76,0.0
20110619:1410,878.31,60.68,29.94,0.97,0.0
20110619:1510,710.9,49.87,30.52,1.1,0.0
20110619:1610,499.97,38.52,30.77,1.24,0.0
20110619:1710,275.7,27.14,30.65,1.45,0.0
20110619:1810,63.83,16.01,30.18,1.72,0.0
20110619:1910,25.33,5.41,28.91,1.52,0.0
20110619:2010,0.0,0.0,27.07,1.86,0.0
20110619:2110,0.0,0.0,25.25,2.0,0.0
20110619:2210,0.0,0.0,23.49,2.07,0.0
20110619:2310,0.0,0.0,21.8,1.79,0.0
20110620:0010,0.0,0.0,21.14,1.31,0.0
20110620:0110,0.0,0.0,21.88,0.69,0.0
20110620:0210,0.0,0.0,20.92,0.28,0.0
20110620:0310,0.0,0.0,19.93,0.41,0.0
20110620:0410,0.0,0.0,19.31,0.83,0.0
20110620:0510,15.72,3.35,17.23,1.17,0.0
20110620:0610,73.0,13.8,17.64,0.9,0.0
20110620:0710,276.02,24.84,21.07,1.1,0.0
20110620:0810,500.82,36.19,23.4,1.17,0.0
20110620:0910,708.98,47.58,25.54,0.83,0.0
20110620:1010,875.23,58.57,27.66,1.03,0.0
20110620:1110,981.02,68.07,29.57,1.86,0.0
20110620:1210,1017.71,73.01,30.98,2.48,0.0
20110620:1310,976.07,69.63,31.9,2.9,0.0
20110620:1410,873.91,60.72,32.48,3.24,0.0
20110620:1510,710.92,49.92,32.72,3.45,0.0
20110620:1610,500.16,38.57,32.64,3.59,0.0
20110620:1710,276.6,27.18,32.02,3.72,0.0
20110620:1810,67.71,16.06,30.7,3.59,0.0
20110620:1910,25.33,5.46,29.5,2.9,0.0
20110620:2010,0.0,0.0,27.84,2.07,0.0
20110620:2110,0.0,0.0,26.26,1.93,0.0
20110620:2210,0.0,0.0,24.59,1.72,0.0
20110620:2310,0.0,0.0,22.93,1.86,0.0
20110621:0010,0.0,0.0,21.52,1.72,0.0
20110621:0110,0.0,0.0,20.66,1.38,0.0
20110621:0210,0.0,0.0,20.66,0.9,0.0
20110621:0310,0.0,0.0,20.67,0.41,0.0
20110621:0410,0.0,0.0,20.08,0.21,0.0
20110621:0510,14.85,3.32,19.48,0.14,0.0
20110621:0610,74.46,13.77,19.72,0.21,0.0
20110621:0710,274.2,24.8,22.83,0.41,0.0
20110621:0810,500.56,36.16,25.46,0.34,0.0
20110621:0910,712.27,47.55,27.77,1.03,0.0
20110621:1010,878.79,58.53,29.81,2.0,0.0
20110621:1110,980.93,68.05,31.33,2.9,0.0
20110621:1210,1017.68,73.02,32.25,3.45,0.0
20110621:1310,980.8,69.66,32.82,3.79,0.0
20110621:1410,873.95,60.76,33.24,4.07,0.0
20110621:1510,709.02,49.96,33.52,4.34,0.0
20110621:1610,499.61,38.61,33.31,4.62,0.0
20110621:1710,277.45,27.23,32.85,4.41,0.0
20110621:1810,72.34,16.1,31.91,4.0,0.0
20110621:1910,27.95,5.5,30.49,3.03,0.0
20110621:2010,0.0,0.0,28.62,2.62,0.0
20110621:2110,0.0,0.0,26.91,2.55,0.0
20110621:2210,0.0,0.0,25.47,2.62,0.0
20110621:2310,0.0,0.0,24.2,2.48,0.0
20110622:0010,0.0,0.0,22.79,2.14,0.0
20110622:0110,0.0,0.0,20.97,1.72,0.0
20110622:0210,0.0,0.0,19.83,1.38,0.0
20110622:0310,0.0,0.0,19.17,1.24,0.0
20110622:0410,0.0,0.0,18.94,1.03,0.0
20110622:0510,14.85,3.28,18.74,0.9,0.0
20110622:0610,73.93,13.73,19.18,0.48,0.0
20110622:0710,273.5,24.76,21.63,0.62,0.0
20110622:0810,497.43,36.12,24.3,1.1,0.0
20110622:0910,704.31,47.51,26.16,1.24,0.0
20110622:1010,869.29,58.49,27.89,1.93,0.0
20110622:1110,975.06,68.02,29.47,3.1,0.0
20110622:1210,1011.85,73.01,30.73,4.14,0.0
20110622:1310,976.18,69.69,31.51,4.9,0.0
20110622:1410,870.67,60.8,31.8,5.38,0.0
20110622:1510,709.16,50.0,31.77,5.72,0.0
20110622:1610,499.77,38.65,31.4,5.79,0.0
20110622:1710,275.02,27.26,30.73,5.72,0.0
20110622:1810,71.51,16.14,29.79,5.52,0.0
20110622:1910,26.2,5.53,28.39,4.41,0.0
20110622:2010,0.0,0.0,26.74,3.79,0.0
20110622:2110,0.0,0.0,25.27,3.24,0.0
20110622:2210,0.0,0.0,24.05,2.62,0.0
20110622:2310,0.0,0.0,22.8,2.07,0.0
20110623:0010,0.0,0.0,21.21,1.79,0.0
20110623:0110,0.0,0.0,19.55,1.66,0.0
20110623:0210,0.0,0.0,18.21,1.59,0.0
20110623:0310,0.0,0.0,17.63,1.31,0.0
20110623:0410,0.0,0.0,17.71,0.97,0.0
20110623:0510,14.85,3.24,17.78,0.69,0.0
20110623:0610,70.19,13.69,17.85,0.55,0.0
20110623:0710,274.4,24.72,19.97,1.17,0.0
20110623:0810,492.28,36.07,22.16,1.79,0.0
20110623:0910,703.24,47.46,23.98,1.66,0.0
20110623:1010,864.56,58.45,25.53,0.76,0.0
20110623:1110,943.36,67.98,26.97,0.07,0.0
20110623:1210,1011.97,73.0,28.3,0.55,0.0
20110623:1310,976.34,69.7,29.42,1.1,0.0
20110623:1410,875.32,60.83,30.3,1.52,0.0
20110623:1510,710.4,50.04,30.84,1.93,0.0
20110623:1610,501.01,38.69,30.99,2.14,0.0
20110623:1710,279.84,27.3,30.77,2.21,0.0
20110623:1810,74.81,16.17,30.34,2.14,0.0
20110623:1910,26.2,5.56,29.19,1.59,0.0
20110623:2010,0.0,0.0,27.48,1.79,0.0
20110623:2110,0.0,0.0,25.48,1.86,0.0
20110623:2210,0.0,0.0,23.27,1.45,0.0
20110623:2310,0.0,0.0,21.7,2.14,0.0
20110624:0010,0.0,0.0,20.61,4.07,0.0
20110624:0110,0.0,0.0,19.22,4.41,0.0
20110624:0210,0.0,0.0,18.44,4.07,0.0
20110624:0310,0.0,0.0,18.06,3.79,0.0
20110624:0410,0.0,0.0,17.75,3.45,0.0
